net,length_um
_035_,124.36
_033_,115.015
_032_,111.38
_022_,89.8
net9,79.395
_024_,69.31
net17,55.69
net3,54.1
net7,50.6
net19,50.18
net11,50.16
net10,48.25
net6,48.1
net14,46.8
net12,45.32
net2,42.62
net26,38.94
net16,36.39
net13,35.04
_069_,33.06
net1,32.23
net18,31.24
net15,29.08
net24,27.36
_051_,25.98
net4,25.62
net5,24.9
_072_,23.72
result[6],22.75
_043_,21.1
a[0],20.67
a[6],20.42
net23,19.96
_083_,19.3
b[2],18.57
net8,18.08
net25,16.78
a[7],16.44
b[5],16.2
_049_,16.06
_009_,15.9
b[7],15.84
_058_,15.46
b[6],15.28
_002_,14.5
_061_,13.96
_041_,13.86
_039_,13.5
_053_,13.46
b[0],13.29
_062_,13.06
a[2],12.96
op[0],11.8
_060_,11.5
b[1],11.34
_017_,11.24
op[2],11.14
b[4],10.88
_019_,10.74
result[3],10.32
result[4],9.88
result[2],9.86
_025_,9.58
_067_,9.08
result[1],8.95
a[5],8.71
_075_,8.7
_013_,8.54
_059_,8.435
_010_,8.16
_012_,8.06
_071_,7.64
_031_,7.52
_042_,7.2
result[7],7.13
_076_,6.74
_000_,6.52
_030_,6.48
_026_,6.46
_001_,6.26
_054_,6.2
_008_,5.94
_028_,5.86
_064_,5.84
result[5],5.75
_078_,5.74
net20,5.68
_077_,5.62
_038_,5.48
_018_,5.41
b[3],5.41
op[1],5.41
_050_,5.38
_011_,5.36
_034_,5.34
a[1],5.29
_023_,5.28
_040_,5.26
_044_,5.22
_045_,5.22
_007_,4.88
_055_,4.82
_021_,4.76
result[0],4.73
_073_,4.48
a[4],4.39
_027_,4.34
net27,4
a[3],3.93
_079_,3.9
_004_,3.88
_068_,3.88
_052_,3.56
_006_,3.54
_029_,3.54
_003_,3.42
_074_,3.42
_082_,3.4
net22,3.2
_014_,3.08
_080_,3.08
_016_,2.96
_057_,2.96
_070_,2.955
_048_,2.62
_036_,2.52
_065_,2.52
_005_,2.5
_081_,2.5
_046_,2.04
_056_,2.04
net21,1.82
_066_,1.7
_015_,1.26
_037_,0.92
_020_,0.8
_047_,0.46
_063_,0.46
